ID,agot1,agot2,agot3,eng1,eng2,eng3,iab1,iab2,iab3,age,exp,emp,rol,gnr,suc
72,3,3,2,4,3,2,3,4,3,24,5,0,Profesional,Femenino,Centro
73,5,1,4,2,2,5,3,3,4,52,39,15,Administrativo,Femenino,Sur
74,5,2,4,2,2,4,4,3,4,39,17,14,Profesional,Masculino,Sur
75,4,2,3,1,1,6,1,4,2,50,45,12,Administrativo,Otro,Sur
76,5,1,5,3,3,5,1,5,2,49,43,41,Técnico,Femenino,Sur
77,4,3,3,4,2,4,3,3,3,46,27,8,Administrativo,Masculino,Sur
78,5,2,5,2,2,6,4,3,4,64,46,46,Técnico,Femenino,Sur
79,5,1,4,2,1,4,3,3,4,38,32,14,Administrativo,Otro,Sur
80,4,2,4,1,2,6,4,1,3,37,37,22,Técnico,Femenino,Sur
81,3,3,3,4,2,3,4,3,4,34,18,15,Profesional,Femenino,Sur
82,3,3,2,3,5,4,1,4,1,22,3,0,Técnico,Masculino,Sur
83,5,1,5,1,2,5,5,1,5,62,39,38,Administrativo,Masculino,Sur
84,4,2,4,3,2,5,4,2,4,62,44,2,Técnico,Femenino,Centro
85,2,5,3,3,4,4,5,1,4,49,40,0,Administrativo,Otro,Centro
86,4,2,5,4,4,2,1,4,2,54,33,1,Profesional,Femenino,Sur
87,2,4,3,3,3,5,5,1,5,53,37,30,Administrativo,Otro,Centro
88,5,1,5,1,1,5,4,2,3,49,44,39,Técnico,Masculino,Sur
89,3,4,3,3,3,4,3,3,4,50,44,9,Profesional,Femenino,Centro
90,4,2,4,2,3,6,3,3,3,48,27,5,Profesional,Otro,Sur
91,5,2,4,2,3,6,1,4,2,53,43,43,Técnico,Masculino,Sur
92,3,4,3,4,5,3,1,4,1,23,2,2,Técnico,Masculino,Centro
93,5,1,4,1,2,6,2,4,3,25,2,1,Profesional,Femenino,Centro
94,4,1,5,1,1,6,1,5,1,55,43,26,Técnico,Femenino,Centro
95,2,5,3,4,3,3,4,1,3,54,44,38,Técnico,Masculino,Centro
96,5,1,5,1,1,6,2,3,2,45,39,20,Técnico,Otro,Sur
97,4,1,4,1,2,5,4,1,5,33,19,5,Administrativo,Otro,Sur
98,3,2,3,2,4,6,5,2,4,57,39,26,Técnico,Otro,Centro
99,4,2,5,3,4,5,2,5,3,44,41,40,Técnico,Femenino,Sur
100,5,2,5,1,2,6,2,4,3,19,1,1,Profesional,Masculino,Centro
101,5,2,4,2,2,5,3,4,4,47,22,10,Profesional,Otro,Sur
102,3,2,3,4,4,2,5,1,4,42,40,38,Profesional,Masculino,Sur
103,4,1,5,2,1,4,1,5,2,27,27,15,Profesional,Masculino,Centro
104,4,2,5,1,2,5,5,1,4,50,40,28,Profesional,Femenino,Sur
105,4,1,5,1,3,5,1,5,1,31,10,10,Profesional,Femenino,Centro
106,5,1,5,2,2,4,5,1,5,40,36,26,Técnico,Otro,Sur
107,4,3,4,4,3,2,3,4,4,27,13,7,Técnico,Otro,Sur
108,4,2,3,3,2,4,4,2,5,47,30,4,Administrativo,Femenino,Centro
109,2,4,3,4,5,3,5,1,5,50,38,2,Técnico,Masculino,Centro
110,5,2,5,2,1,4,3,4,4,50,40,19,Técnico,Otro,Sur
111,5,1,4,1,2,6,1,4,2,50,33,21,Administrativo,Otro,Centro
112,4,3,5,4,4,2,2,4,3,28,3,0,Profesional,Femenino,Sur
113,5,1,4,3,3,4,3,3,4,19,9,6,Profesional,Masculino,Sur
114,4,3,3,1,2,5,5,1,4,49,27,18,Profesional,Masculino,Centro
115,4,2,4,2,4,5,1,4,1,22,5,3,Técnico,Femenino,Centro
116,5,2,5,2,2,6,5,1,4,51,37,5,Administrativo,Otro,Centro
117,5,2,5,1,2,5,2,5,1,34,19,10,Técnico,Otro,Sur
118,4,2,3,1,3,6,4,3,4,52,43,13,Profesional,Femenino,Centro
119,3,2,4,2,4,6,5,2,5,50,41,30,Profesional,Otro,Sur
120,5,1,5,1,2,5,1,4,2,48,44,43,Técnico,Femenino,Sur
121,5,1,4,1,1,6,1,4,1,27,3,1,Profesional,Masculino,Sur
122,1,5,1,6,5,1,2,4,2,35,35,34,Técnico,Femenino,Centro
123,4,2,4,2,3,4,1,5,2,57,39,35,Profesional,Otro,Sur
124,5,1,5,2,2,6,5,2,5,48,32,5,Técnico,Femenino,Sur
125,3,2,3,3,5,3,3,4,4,36,24,16,Administrativo,Otro,Centro
126,3,3,2,2,3,4,5,2,4,57,42,11,Administrativo,Otro,Sur
127,5,1,5,1,1,5,4,1,4,38,36,34,Administrativo,Masculino,Centro
128,5,2,4,2,1,5,4,1,3,52,40,40,Profesional,Masculino,Centro
129,4,1,3,4,3,2,3,4,4,57,35,34,Técnico,Masculino,Sur
130,5,2,5,2,2,5,2,5,1,41,39,37,Administrativo,Otro,Sur
131,4,2,5,1,2,6,5,1,4,55,44,43,Profesional,Otro,Sur
132,4,3,4,2,1,6,4,2,4,56,31,22,Administrativo,Otro,Centro
133,4,2,3,1,3,5,1,4,1,47,41,26,Administrativo,Femenino,Centro
134,4,1,3,3,2,5,5,1,5,34,9,1,Profesional,Masculino,Sur
135,4,1,5,1,3,6,4,3,4,60,42,41,Técnico,Femenino,Centro
136,5,2,4,3,2,3,3,4,3,39,31,13,Administrativo,Masculino,Centro
137,4,1,4,3,4,4,2,5,3,32,12,0,Profesional,Femenino,Sur
138,2,5,2,6,5,2,2,5,2,27,8,0,Profesional,Otro,Centro
139,1,4,2,4,4,2,5,2,5,43,43,39,Administrativo,Otro,Centro
140,2,4,3,6,5,2,1,5,2,25,5,5,Técnico,Masculino,Centro
141,4,3,4,1,3,5,1,4,2,43,29,21,Técnico,Otro,Sur
142,5,1,4,1,1,5,4,2,5,59,36,6,Técnico,Masculino,Sur
143,4,3,5,3,2,4,5,1,5,46,45,36,Profesional,Femenino,Sur
144,4,1,3,3,3,3,4,1,3,30,27,27,Profesional,Femenino,Sur
145,5,2,4,2,1,4,2,3,3,37,20,17,Técnico,Masculino,Sur
146,4,3,5,2,3,6,3,3,3,29,6,4,Técnico,Masculino,Sur
147,3,3,3,2,4,6,4,2,4,57,40,31,Administrativo,Otro,Sur
148,2,5,1,3,3,4,2,4,3,51,39,39,Profesional,Otro,Centro
149,3,4,2,2,2,5,2,3,1,48,42,40,Técnico,Otro,Centro
150,4,2,4,2,4,6,1,5,1,46,41,40,Administrativo,Otro,Sur
151,5,2,5,3,2,3,3,4,4,28,16,13,Técnico,Masculino,Centro
152,4,1,3,3,3,3,4,3,4,53,43,39,Profesional,Otro,Centro
153,4,1,5,1,2,6,4,1,3,49,41,14,Profesional,Otro,Sur
154,5,1,5,1,1,5,1,5,1,51,32,10,Administrativo,Femenino,Centro
155,4,1,3,3,2,5,5,2,5,43,32,19,Profesional,Femenino,Sur
156,3,3,2,4,3,4,4,1,4,36,15,3,Profesional,Otro,Centro
157,5,2,5,1,3,6,2,5,1,46,25,8,Administrativo,Femenino,Sur
158,5,1,5,2,2,6,5,1,4,47,45,43,Profesional,Femenino,Sur
159,4,3,5,2,3,4,4,3,4,24,13,2,Profesional,Otro,Centro
160,5,2,4,1,1,5,4,2,5,41,16,10,Técnico,Masculino,Centro
161,2,4,2,3,4,3,5,2,4,43,39,25,Técnico,Otro,Centro
162,4,2,5,4,4,4,1,4,1,39,38,13,Técnico,Otro,Centro
163,3,4,4,4,4,2,4,2,3,30,7,7,Profesional,Masculino,Sur
164,4,3,3,2,3,4,1,5,1,60,45,21,Profesional,Femenino,Sur
165,3,2,4,2,4,6,4,3,3,42,28,22,Administrativo,Femenino,Centro
166,4,2,4,2,3,6,2,4,1,55,43,36,Técnico,Masculino,Sur
167,5,1,5,2,1,4,2,4,3,61,43,35,Administrativo,Femenino,Centro
168,5,2,4,3,2,4,1,4,1,32,7,4,Profesional,Otro,Centro
169,5,1,5,2,2,4,4,3,4,35,18,0,Administrativo,Femenino,Centro
170,4,2,4,4,2,2,1,4,2,56,36,14,Administrativo,Femenino,Sur
171,4,3,4,1,3,6,4,1,3,40,27,9,Administrativo,Masculino,Sur
172,4,2,5,1,3,6,5,1,4,57,42,39,Técnico,Femenino,Sur
173,3,2,3,3,4,3,1,4,1,24,17,16,Técnico,Otro,Sur
174,5,1,4,3,3,3,1,4,2,46,41,37,Administrativo,Otro,Sur
175,4,3,5,1,1,6,1,4,1,26,8,5,Técnico,Otro,Sur
176,2,5,1,4,5,2,5,2,4,54,44,7,Profesional,Masculino,Centro
177,5,2,5,1,2,5,4,3,5,21,20,7,Administrativo,Masculino,Centro
178,4,1,3,1,3,6,4,1,3,34,9,8,Técnico,Femenino,Sur
179,5,1,4,2,1,5,4,3,5,58,41,33,Técnico,Otro,Sur
180,4,1,3,1,1,5,4,2,4,45,21,1,Profesional,Otro,Sur
181,5,1,4,2,3,4,2,3,3,50,25,17,Técnico,Otro,Sur
182,3,3,2,4,3,2,3,2,4,41,26,22,Técnico,Femenino,Sur
183,5,1,5,2,2,6,5,1,5,55,43,1,Técnico,Masculino,Centro
184,2,4,3,4,5,3,4,1,3,43,38,12,Administrativo,Femenino,Centro
185,3,2,4,2,2,4,5,2,5,46,41,19,Profesional,Otro,Centro
186,4,3,3,3,4,3,1,4,1,54,41,37,Técnico,Masculino,Sur
187,4,2,5,2,2,4,2,4,1,55,37,32,Profesional,Otro,Centro
188,3,3,4,4,3,4,1,4,2,27,14,9,Profesional,Femenino,Centro
189,5,1,4,1,3,5,1,4,2,37,12,8,Técnico,Masculino,Sur
190,1,5,1,5,6,1,1,4,2,21,17,6,Administrativo,Masculino,Sur
191,4,1,3,2,3,4,5,1,5,41,27,25,Técnico,Femenino,Centro
192,3,2,2,2,2,6,4,3,3,45,45,22,Administrativo,Femenino,Sur
193,1,5,2,6,6,2,2,5,1,23,19,17,Profesional,Masculino,Centro
194,5,2,5,2,1,6,4,1,4,57,42,27,Administrativo,Femenino,Centro
195,1,4,2,6,6,1,4,3,3,41,35,12,Técnico,Masculino,Centro
196,4,1,3,4,3,2,4,3,3,62,40,34,Profesional,Masculino,Sur
197,5,1,4,2,1,6,4,3,3,54,39,13,Profesional,Otro,Centro
198,4,1,5,4,3,4,2,4,3,21,16,15,Técnico,Femenino,Centro
199,1,4,2,5,6,2,5,2,5,45,38,25,Profesional,Masculino,Centro
200,5,1,5,1,2,5,4,3,5,62,44,36,Profesional,Femenino,Centro
201,1,5,1,6,5,2,2,4,3,29,8,2,Profesional,Otro,Sur
202,4,3,4,1,3,5,1,4,2,25,22,18,Administrativo,Otro,Sur
203,4,2,4,2,3,6,3,3,3,48,45,38,Administrativo,Otro,Sur
204,4,3,3,2,2,4,5,1,4,42,35,24,Técnico,Femenino,Centro
205,3,4,4,4,2,4,2,3,3,50,41,34,Técnico,Femenino,Centro
206,3,3,2,3,4,3,4,3,4,62,38,10,Administrativo,Otro,Centro
207,4,3,5,1,1,5,5,2,5,54,40,38,Técnico,Otro,Centro
208,4,1,3,1,3,6,4,2,4,45,44,24,Profesional,Femenino,Centro
209,5,2,5,2,2,5,3,3,4,34,15,10,Profesional,Otro,Centro
210,5,1,5,2,1,4,1,5,1,45,42,41,Técnico,Masculino,Sur
211,5,2,5,1,1,6,1,5,2,40,35,14,Técnico,Masculino,Sur
212,1,4,2,6,6,2,1,4,2,38,31,30,Técnico,Femenino,Sur
213,2,4,3,3,4,3,4,1,3,33,13,11,Técnico,Masculino,Centro
214,2,4,1,3,5,5,4,2,5,42,41,32,Técnico,Otro,Centro
215,3,4,4,2,2,5,2,3,3,26,1,0,Técnico,Otro,Centro
216,4,2,5,2,4,6,2,3,1,34,31,31,Profesional,Femenino,Centro
217,5,2,4,1,2,6,1,4,2,22,21,2,Profesional,Masculino,Centro
218,5,2,4,1,1,6,2,4,2,32,11,11,Técnico,Femenino,Centro
219,2,5,2,3,5,5,4,1,4,43,43,27,Profesional,Femenino,Centro
220,4,1,4,2,2,4,4,1,4,37,26,18,Profesional,Masculino,Sur
221,4,3,4,1,3,5,3,4,4,55,43,18,Profesional,Otro,Centro
222,5,2,4,2,3,6,2,4,1,59,34,29,Profesional,Femenino,Centro
223,3,4,4,4,4,4,1,4,2,27,2,1,Profesional,Femenino,Sur
224,3,4,4,2,2,5,1,5,1,33,22,2,Profesional,Masculino,Sur
225,2,3,3,5,3,3,3,3,2,29,5,1,Profesional,Masculino,Centro
226,4,3,4,2,2,6,5,1,4,65,46,46,Profesional,Femenino,Centro
227,1,4,2,5,6,2,1,5,2,22,0,0,Técnico,Masculino,Centro
228,5,2,5,1,1,5,4,1,3,45,45,1,Profesional,Femenino,Sur
229,2,4,3,4,4,4,4,1,3,60,42,41,Administrativo,Otro,Centro
230,4,2,4,2,3,5,4,1,3,61,44,28,Técnico,Masculino,Centro
231,3,4,4,2,4,6,4,1,5,41,41,41,Administrativo,Femenino,Sur
232,3,2,3,3,5,3,2,5,3,26,23,0,Administrativo,Otro,Centro
233,4,3,4,3,2,5,5,2,4,54,30,23,Profesional,Masculino,Sur
234,5,2,4,1,1,5,4,1,5,60,45,43,Técnico,Otro,Centro
235,3,4,4,3,3,4,2,4,3,28,5,2,Profesional,Otro,Sur
236,2,4,3,4,4,3,3,2,3,41,26,22,Técnico,Femenino,Centro
237,1,5,1,6,4,2,3,3,4,30,10,9,Administrativo,Masculino,Centro
238,2,3,3,4,6,4,1,4,2,21,12,3,Técnico,Otro,Centro
239,4,3,3,3,4,5,2,5,2,63,40,28,Administrativo,Femenino,Sur
240,4,3,5,3,3,4,3,4,3,52,41,25,Técnico,Otro,Centro
241,5,2,5,3,1,5,2,5,3,51,43,12,Profesional,Femenino,Sur
242,3,3,4,3,3,5,4,3,4,30,5,5,Técnico,Otro,Centro
243,4,1,3,3,2,3,3,4,2,39,23,18,Profesional,Masculino,Sur
244,5,2,5,3,2,5,1,4,2,34,12,10,Técnico,Masculino,Sur
245,5,2,4,1,2,5,2,5,3,41,40,16,Administrativo,Femenino,Centro
246,5,1,4,1,1,6,2,5,3,28,28,18,Profesional,Femenino,Centro
247,5,2,4,1,1,6,1,4,1,51,33,23,Profesional,Femenino,Sur
248,4,2,3,1,2,5,4,1,5,48,45,32,Profesional,Femenino,Sur
249,3,4,4,5,5,1,1,5,2,29,25,18,Técnico,Otro,Sur
250,5,1,5,1,2,6,5,1,5,56,45,38,Administrativo,Otro,Centro
251,3,3,3,2,4,4,4,3,3,32,32,8,Técnico,Femenino,Centro
252,4,3,4,3,1,3,4,1,3,42,36,25,Administrativo,Otro,Sur
253,4,2,3,1,2,5,4,2,5,45,44,8,Técnico,Otro,Centro
254,5,1,4,1,2,5,5,2,4,42,25,21,Técnico,Masculino,Centro
255,5,1,5,3,3,4,2,4,2,34,30,4,Profesional,Masculino,Sur
256,4,2,5,1,3,6,5,2,4,42,35,17,Técnico,Femenino,Centro
257,4,3,5,2,3,4,4,1,5,61,45,38,Profesional,Femenino,Centro
258,3,4,2,2,3,6,2,3,3,34,11,5,Administrativo,Otro,Centro
259,3,2,2,5,5,1,1,5,2,27,26,25,Profesional,Otro,Centro
260,4,3,4,3,3,4,3,4,2,37,23,21,Administrativo,Femenino,Centro
261,3,4,3,3,2,3,3,3,4,53,42,41,Técnico,Masculino,Sur
262,5,2,4,2,2,6,4,3,4,35,18,2,Profesional,Otro,Sur
263,1,5,2,6,5,1,1,5,2,18,7,5,Profesional,Masculino,Centro
264,3,4,3,3,2,3,4,3,3,57,38,31,Profesional,Otro,Sur
265,4,2,4,3,1,4,5,2,4,45,31,11,Profesional,Femenino,Sur
266,4,3,3,2,3,6,2,4,2,43,38,27,Profesional,Masculino,Sur
267,4,2,4,3,3,4,2,3,1,21,13,9,Técnico,Femenino,Sur
268,4,2,5,3,2,3,4,3,4,61,45,26,Administrativo,Otro,Centro
269,5,1,5,1,2,5,4,3,3,22,22,19,Técnico,Masculino,Sur
270,3,4,4,2,3,5,5,2,5,58,44,41,Profesional,Femenino,Sur
271,5,1,4,1,2,6,2,4,2,30,9,4,Técnico,Femenino,Sur
272,3,4,4,3,3,5,4,3,4,45,39,34,Profesional,Femenino,Sur
273,3,3,4,3,2,4,4,1,4,48,25,17,Profesional,Femenino,Sur
274,5,2,4,2,2,5,3,4,4,56,37,32,Profesional,Otro,Sur
275,4,3,3,3,2,4,5,1,4,39,26,7,Administrativo,Otro,Sur
276,2,4,3,3,4,3,4,2,5,43,42,39,Administrativo,Otro,Centro
277,4,2,3,1,3,5,3,4,3,36,16,11,Administrativo,Otro,Sur
278,2,5,3,3,3,3,5,1,4,44,33,25,Profesional,Femenino,Centro
279,2,3,2,4,4,3,3,4,4,59,45,28,Profesional,Femenino,Centro
280,5,2,5,1,1,5,5,2,5,49,34,27,Administrativo,Otro,Sur
281,4,1,5,3,3,3,5,1,4,30,18,17,Profesional,Otro,Centro
282,5,1,5,2,1,6,5,2,4,30,30,27,Profesional,Femenino,Centro
283,5,1,4,1,2,6,4,3,4,42,20,9,Administrativo,Otro,Sur
284,1,5,1,6,5,2,1,5,2,23,4,1,Técnico,Masculino,Sur
285,4,1,5,3,1,5,1,5,2,46,43,16,Técnico,Masculino,Centro
286,5,2,5,3,3,5,1,5,1,34,28,6,Técnico,Femenino,Sur
287,5,1,5,1,2,6,4,3,5,47,38,9,Administrativo,Femenino,Centro
288,3,2,3,4,3,3,4,1,5,32,15,7,Técnico,Otro,Sur
289,5,1,5,1,1,5,4,3,3,44,36,2,Profesional,Femenino,Centro
290,5,2,5,1,2,6,4,1,4,32,11,10,Profesional,Masculino,Centro
291,4,2,3,3,2,4,5,1,4,36,33,17,Profesional,Otro,Centro
292,4,3,4,4,2,4,3,3,3,38,26,13,Profesional,Femenino,Sur
293,1,5,2,5,5,1,1,5,2,28,21,21,Técnico,Otro,Sur
294,5,2,4,2,2,4,5,2,5,44,40,35,Profesional,Otro,Sur
295,4,1,3,3,2,3,2,4,1,32,20,3,Profesional,Otro,Centro
296,4,3,4,2,2,4,5,2,5,45,24,7,Administrativo,Masculino,Sur
297,4,1,4,2,2,4,2,5,2,59,40,34,Profesional,Otro,Centro
298,3,3,4,2,3,5,4,1,3,43,30,3,Administrativo,Femenino,Centro
299,4,1,3,3,3,4,3,2,3,59,45,38,Profesional,Otro,Sur
300,4,2,5,3,2,3,2,5,1,27,20,14,Técnico,Masculino,Sur
301,4,3,3,3,2,5,5,1,4,43,32,25,Administrativo,Masculino,Centro
302,5,1,5,2,1,4,2,4,2,52,33,20,Técnico,Femenino,Centro
303,3,2,3,5,4,2,2,4,2,31,9,7,Profesional,Otro,Sur
304,4,3,4,4,3,4,1,4,1,59,40,39,Técnico,Femenino,Sur
305,4,3,3,2,3,5,5,2,5,45,28,26,Profesional,Masculino,Sur
306,4,3,5,2,4,5,1,4,2,50,29,24,Profesional,Femenino,Centro
307,4,2,5,4,2,2,2,5,1,30,12,11,Profesional,Masculino,Sur
308,5,2,5,2,1,4,2,4,1,55,47,39,Técnico,Femenino,Sur
309,2,5,2,3,3,3,5,1,5,57,45,43,Profesional,Otro,Centro
310,2,3,2,4,4,2,5,1,4,64,46,46,Técnico,Otro,Centro
311,4,2,4,2,2,5,3,2,4,45,45,39,Administrativo,Masculino,Sur
312,3,3,4,3,4,5,4,1,3,31,16,7,Técnico,Otro,Sur
313,5,2,4,2,2,5,1,5,2,58,42,35,Administrativo,Femenino,Sur
314,4,3,4,3,3,3,4,1,5,42,32,1,Técnico,Otro,Sur
315,4,1,4,3,4,3,2,4,2,58,41,18,Profesional,Masculino,Sur
316,5,1,4,1,1,5,5,1,4,47,39,37,Administrativo,Otro,Centro
317,2,3,3,3,4,5,3,4,2,54,42,16,Técnico,Femenino,Centro
318,4,3,5,2,4,4,3,2,4,55,34,3,Profesional,Masculino,Sur
319,1,5,1,4,5,3,4,3,3,55,31,12,Administrativo,Otro,Centro
320,4,3,4,3,2,5,4,3,3,44,31,29,Técnico,Masculino,Sur
321,4,2,5,1,1,6,1,4,1,31,16,12,Técnico,Masculino,Centro
322,3,3,4,3,3,5,2,4,1,39,39,7,Profesional,Otro,Sur
323,3,2,3,4,3,2,3,4,3,59,43,41,Profesional,Masculino,Sur
324,4,2,4,3,4,4,1,4,2,53,44,30,Profesional,Femenino,Sur
325,5,1,5,1,1,6,1,5,2,60,43,34,Técnico,Femenino,Sur
326,5,1,4,2,3,4,2,4,1,42,31,29,Administrativo,Otro,Sur
327,4,1,5,3,1,4,4,2,3,45,28,23,Profesional,Otro,Centro
328,3,3,2,3,3,4,3,4,4,47,44,41,Técnico,Femenino,Sur
329,4,1,4,4,2,4,3,2,2,60,42,1,Profesional,Otro,Sur
330,1,4,2,4,5,3,4,3,4,28,27,11,Profesional,Masculino,Centro
331,5,2,5,1,1,6,2,3,3,47,30,22,Profesional,Femenino,Sur
332,5,2,5,2,1,5,5,2,4,46,27,1,Profesional,Otro,Centro
333,4,1,4,1,3,6,5,1,5,41,28,2,Técnico,Masculino,Sur
334,3,4,4,3,3,4,3,3,2,43,27,0,Profesional,Femenino,Centro
335,3,4,2,2,4,4,4,2,3,49,45,21,Profesional,Femenino,Centro
336,3,3,3,4,3,4,4,3,4,53,34,4,Administrativo,Masculino,Centro
337,3,4,4,5,5,3,2,4,1,19,16,10,Administrativo,Masculino,Centro
338,4,1,3,3,3,5,4,3,3,45,40,31,Profesional,Femenino,Centro
339,5,2,5,1,2,6,4,3,5,18,15,14,Administrativo,Masculino,Centro
340,4,2,3,1,2,5,5,1,5,45,42,19,Administrativo,Masculino,Sur
341,4,3,5,1,3,5,3,3,2,42,21,18,Técnico,Otro,Centro
342,5,1,5,2,1,4,2,3,3,54,42,25,Técnico,Otro,Centro
343,4,1,4,1,2,6,5,2,5,44,37,4,Administrativo,Otro,Centro
344,3,2,4,2,3,6,2,5,2,48,32,17,Técnico,Otro,Sur
345,3,2,2,5,3,1,2,5,3,27,4,3,Profesional,Otro,Sur
346,4,1,4,3,4,4,2,5,1,26,4,0,Técnico,Masculino,Sur
347,4,2,3,4,4,4,2,4,2,52,32,8,Profesional,Otro,Sur
348,2,3,2,4,4,4,4,1,4,52,43,38,Técnico,Masculino,Centro
